Species,SpeciesID,Fct_group,Comment,Ecogroup_Phillips,MJI Briones,Correct name,Acc_name,Percent_Epigeic,Percent_Anecic,Percent_Endogeic,Ecogroup_Bottinelli,Ecogroup,kingdom,phylum,class,order,suborder,family,genus,Records,NumCells_2km,NumCells_1km
Ailoscolex lacteospumosus,Ailos_lact,NA,NA,NA,Endogeic,Ailoscolex lacteospumosus,Ailoscolex lacteospumosus,0,0,100,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Ailoscolecidae,Ailoscolex,1,1,1
Allolobophora antipae,Allol_anti,NA,NA,NA,Endogeic,Proctodrilus antipai,Allolobophora,25,0,75,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora carpathica,Allol_carp,NA,NA,Anecic,Anecic,Aporrectodea carpathica,Allolobophora carpathica,NA,NA,NA,NA,Anecic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora carpatica,Allol_carp,NA,NA,NA,,,Allolobophora carpatica,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora chlorotica,Allol_chlo,NA,NA,Epi-Endogeic,Epi-endogeic,Allolobophora chlorotica,Allolobophora chlorotica,20.67,21.67,57.67,Intermediate,Intermediate,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,4324,1436,1572
Allolobophora cupulifera,Allol_cupu,NA,NA,NA,Endogeic,Aporrectodea cupulifera,Allolobophora cupulifera,2,0,98,Endogeic,Endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,17,11,11
Allolobophora cyrnea,Allol_cyrn,NA,NA,NA,Endo-Anecic,Scherotheca corsicana?,Allolobophora cyrnea,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,1,1,1
Allolobophora dubiosa,Allol_dubi,NA,NA,NA,Anecic,Aporrectodea dubiosa,Allolobophora dubiosa,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allolobophora dugesi,Allol_duge,NA,NA,NA,Anecic,Scherotheca dugesi,Allolobophora dugesi,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,2,2,2
Allobophoridella eiseni,Allol_eise,NA,NA,Epigeic,,,Allolobophoridella eiseni,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophoridella,105,61,64
Allolobophoridella eiseni,Allol_eise,NA,NA,Epigeic,Epigeic,Allolobophoridella eiseni,Allolobophoridella eiseni,NA,NA,NA,NA,Epigeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophoridella,105,61,64
Allolobophora leoni,Allol_leon,NA,NA,NA,Endogeic,Allolobophora leoni,Allolobophora leoni,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,1,1,1
Allolobophora mehadiensis,Allol_meha,NA,NA,NA,Endogeic,Allolobophora mehadiensis,Allolobophora mehadiensis,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,1,1,1
Allolobophora minuscula,Allol_minu,NA,NA,NA,Endogeic,Murcheiona minuscula,Allolobophora minuscula,NA,NA,NA,NA,NA,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,12,4,4
Allolobophora muldali,Allol_muld,NA,NA,NA,Endogeic,Murcheiona muldali,Allolobophora muldali,44,0,56,Epi-endogeic,Epi-endogeic,Animalia,Annelida,Clitellata,Opisthopora,Crassiclitellata,Lumbricidae,Allolobophora,105,48,54
