Species_ID	Species
Allol_chlo	Allolobophora chlorotica
Allol_dofl	Allolobophora dofleini
Allol_rose	Allolobophora rosea
Allol_eise	Allolobophoridella eiseni
Aporr_cali	Aporrectodea caliginosa
Aporr_cupu	Aporrectodea cupulifera
Aporr_hand	Aporrectodea handlirschi
Aporr_icte	Aporrectodea icterica
Aporr_limi	Aporrectodea limicola
Aporr_long	Aporrectodea longa
Aporr_moll	Aporrectodea molleri
Aporr_noct	Aporrectodea nocturna
Aporr_oliv	Aporrectodea oliveirae
Aporr_rose	Aporrectodea rosea
Aporr_smar	Aporrectodea smaragdina
Aporr_trap	Aporrectodea trapezoides
Dendr_alpi	Dendrobaena alpina
Dendr_atte	Dendrobaena attemsi
Dendr_bybl	Dendrobaena byblica
Dendr_hort	Dendrobaena hortensis
Dendr_illy	Dendrobaena illyrica
Dendr_octa	Dendrobaena octaedra
Dendr_pygm	Dendrobaena pygmaea
Dendr_vene	Dendrobaena veneta
Dendr_rubi	Dendrobaena rubidus
Eisen_andr	Eisenia andrei
Eisen_feti	Eisenia fetida
Eisen_luce	Eisenia lucens
Eisen_tetr	Eiseniella tetraedra
Fitzi_plat	Fitzingeria platyura
Helod_ocul	Helodrilus oculatus
Lumbr_cast	Lumbricus castaneus
Lumbr_fest	Lumbricus festivus
Lumbr_frie	Lumbricus friendi
Lumbr_herc	Lumbricus herculeus
Lumbr_poly	Lumbricus polyphemus
Lumbr_rube	Lumbricus rubellus
Lumbr_terr	Lumbricus terrestris
Micro_dubi	Microscolex dubius
Micro_phos	Microscolex phosphoreus
Murch_minu	Murchieona minuscula
Murch_muld	Murchieona muldali
Nicod_cali	Nicodrilus caliginosus
Octod_comp	Octodrilus complanatus
Octod_comp	Octodrilus compromissus
Octod_tran	Octodrilus transpadanus
Octol_cyan	Octolasion cyaneum
Octol_lact	Octolasion lacteum
Octol_tyrt	Octolasion tyrtaeum
Proct_anti	Proctodrilus antipae
Proct_tube	Proctodrilus tuberculatus
Satch_made	Satchellius madeirensis
Satch_mamm	Satchellius mammalis
